order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount,city,payment_method,delivery_days,customer_rating
ORD1106,CUST6,2024-09-17,,Blender,3,370.86,10,Mumbai,Card,1,
ORD1107,CUST59,2024-08-18,Beauty,,2,467.84,10,Delhi,Card,,2
ORD1108,CUST52,2024-02-10,Clothing,,2,463.53,15,Chennai,NetBanking,3,3
ORD1109,CUST29,2024-01-28,Clothing,Face Cream,3,230.91,0,Pune,Card,1,2
ORD1110,CUST30,2024-05-14,Beauty,,4,65.49,5,,,3,4
ORD1111,CUST12,,Clothing,,1,492.57,0,,Card,2,1
ORD1112,CUST33,2024-11-23,Electronics,Shoes,4,421.06,,Mumbai,,2,3
ORD1113,CUST49,2024-09-24,Home,Face Cream,3,71.08,,Bangalore,,2,
ORD1114,CUST51,2024-02-02,,Headphones,1,461.21,0,Mumbai,UPI,5,5
ORD1115,CUST5,2024-02-17,Sports,Speaker,,436.25,10,,UPI,3,4
ORD1116,CUST4,2024-03-02,Home,,,264.23,,Chennai,UPI,2,3
ORD1117,CUST26,2024-08-03,Electronics,,1,299.72,0,Chennai,Cash,,4
,CUST55,2024-10-19,Sports,Laptop,2,205.51,5,,Card,4,3
ORD1119,CUST36,2024-04-08,,Dumbbells,5,36.83,,,,2,3
ORD1120,CUST49,,Electronics,Face Cream,4,174.25,0,Mumbai,,3,2
,CUST20,2024-12-25,Home,Watch,1,,10,Chennai,UPI,1,
ORD1122,CUST8,2024-08-01,Beauty,,2,12.27,0,Pune,Card,2,3
ORD1123,CUST55,2024-02-04,Sports,,2,173.41,,Delhi,,4,2
ORD1124,CUST54,2024-08-14,Sports,Headphones,3,205.1,,Hyderabad,Card,2,3
ORD1125,CUST10,2024-04-10,Sports,,3,273.32,,Hyderabad,Card,3,3
ORD1126,CUST48,2024-05-10,Clothing,Headphones,2,,5,Hyderabad,Card,4,5
ORD1127,CUST16,2024-09-13,Clothing,Blender,3,179.71,20,,UPI,1,4
ORD1128,CUST53,2024-01-05,Beauty,,,180.01,15,Mumbai,NetBanking,3,4
,CUST27,2024-08-05,Beauty,Dumbbells,1,371.38,0,Bangalore,Cash,2,1
ORD1130,CUST51,2024-09-11,Beauty,Shoes,2,231.59,15,Chennai,Cash,,3
ORD1131,CUST54,2024-12-24,,Watch,4,120.06,0,Delhi,UPI,3,3
ORD1132,CUST9,2024-10-09,Home,Laptop,5,231.7,5,Pune,Card,5,1
ORD1133,CUST48,2024-07-25,Home,Dumbbells,3,79.02,0,Delhi,UPI,3,3
ORD1134,CUST42,2024-01-15,Beauty,T-shirt,3,96.43,0,Pune,,1,4
ORD1135,CUST29,2024-12-11,Sports,Laptop,1,254.2,0,,Card,,2
ORD1136,CUST45,2024-02-11,Sports,Face Cream,2,215.27,10,Mumbai,NetBanking,,3
ORD1137,CUST40,2024-06-27,Beauty,Speaker,3,458.27,,Hyderabad,UPI,4,2
ORD1138,,2024-03-03,Beauty,T-shirt,2,187.57,10,Mumbai,UPI,5,1
ORD1139,,2024-12-17,Clothing,T-shirt,2,294.49,0,,Cash,7,2
ORD1140,CUST7,2024-08-18,Clothing,Dumbbells,2,319.81,0,Bangalore,UPI,2,
ORD1141,CUST36,2024-08-28,Electronics,Shoes,1,16.42,5,Bangalore,NetBanking,2,5
ORD1142,CUST8,2024-02-21,Home,Dumbbells,2,335.13,15,,NetBanking,4,
ORD1143,CUST25,2024-04-05,Electronics,,2,,0,Pune,UPI,3,3
ORD1144,CUST43,2024-08-09,Home,,2,480.92,10,Chennai,Card,5,2
ORD1145,CUST14,2024-08-18,,,1,82.84,20,Chennai,UPI,,3
ORD1146,CUST17,2024-08-24,Clothing,Shoes,5,213.17,10,Pune,NetBanking,3,3
ORD1147,CUST39,2024-05-22,Home,Face Cream,3,51.82,0,Bangalore,Card,2,5
ORD1148,CUST31,2024-06-19,Electronics,Shoes,4,498.47,0,Bangalore,UPI,5,1
ORD1149,CUST27,2024-01-29,Electronics,Headphones,4,256.08,20,Bangalore,UPI,2,3
ORD1150,CUST21,2024-02-05,Beauty,,3,301.74,0,Mumbai,Cash,5,2
ORD1151,CUST45,2024-01-13,Clothing,T-shirt,1,42.87,20,Bangalore,Card,3,3
ORD1152,CUST41,2024-06-08,,Watch,3,377.48,5,Delhi,Cash,4,4
ORD1153,CUST53,2024-11-22,Home,Speaker,3,112.85,,Hyderabad,NetBanking,1,3
ORD1154,CUST15,2024-07-05,Beauty,Face Cream,4,450.05,15,Bangalore,Card,4,3
ORD1155,CUST26,2024-08-30,Clothing,Laptop,2,110.52,,Pune,Card,3,3
ORD1156,CUST55,2024-03-26,,Shoes,1,103.44,0,,,3,3
ORD1157,CUST53,2024-10-10,Electronics,Speaker,2,27.91,15,Mumbai,Card,2,4
ORD1158,CUST56,2024-03-06,Electronics,Laptop,2,241.31,5,Pune,NetBanking,4,5
ORD1159,CUST21,2024-06-18,Home,Speaker,3,286.77,5,Hyderabad,,7,
ORD1160,CUST10,2024-02-14,Home,Watch,3,42.2,10,Pune,Card,2,4
ORD1161,CUST9,2024-03-02,Sports,Laptop,2,390.01,,Mumbai,NetBanking,1,3
ORD1162,CUST22,2024-05-13,Sports,Dumbbells,,,,Delhi,UPI,,4
ORD1163,CUST46,2024-10-10,,Blender,3,266.95,15,Mumbai,UPI,4,3
ORD1164,CUST13,2024-01-28,Home,Dumbbells,2,225.97,5,Mumbai,UPI,4,3
ORD1165,CUST32,2024-04-17,Clothing,,1,206.37,5,Pune,UPI,3,5
ORD1166,CUST5,2024-02-13,Beauty,Blender,1,,10,,Card,2,1
ORD1167,CUST24,2024-12-05,Clothing,Dumbbells,2,86.07,0,,UPI,3,
ORD1168,CUST46,2024-10-12,Home,Blender,1,99.14,0,Bangalore,,3,3
ORD1169,CUST26,2024-11-26,Electronics,Blender,1,432.27,0,Bangalore,Card,3,4
ORD1170,CUST15,2024-05-07,Electronics,T-shirt,2,473.6,0,Delhi,UPI,,4
ORD1171,CUST40,2024-12-13,,Shoes,1,192.92,0,Delhi,Card,1,5
ORD1172,CUST40,2024-08-18,Beauty,Shoes,5,142.66,0,Bangalore,,4,4
ORD1173,CUST7,2024-07-08,Sports,T-shirt,1,325.56,0,Chennai,Card,3,4
ORD1174,CUST31,2024-08-12,Home,Speaker,3,210.28,0,Bangalore,,3,1
ORD1175,CUST51,2024-10-09,Electronics,Headphones,2,22.44,,,UPI,4,3
ORD1176,CUST15,2024-04-30,Electronics,Speaker,,86.51,5,Chennai,Card,4,2
ORD1177,CUST49,2024-04-25,Clothing,Laptop,1,360.83,0,Delhi,Card,,4
ORD1178,CUST46,,Home,Laptop,2,332.87,10,Hyderabad,Card,1,3
ORD1179,CUST1,2024-09-15,,Blender,,23.28,0,Pune,UPI,1,4
ORD1180,CUST38,,Sports,Dumbbells,5,118.77,,,Card,4,1
,CUST19,2024-07-16,Clothing,Dumbbells,5,123.23,,,Cash,3,1
ORD1182,CUST42,2024-05-16,,Shoes,2,339.23,0,Delhi,UPI,2,4
ORD1183,CUST10,2024-11-13,Sports,Face Cream,1,19.66,5,Delhi,Card,1,1
ORD1184,CUST34,,Home,Speaker,4,61.01,20,Mumbai,UPI,1,1
ORD1185,CUST60,,Sports,,,401.96,,,Cash,7,1
ORD1186,,2024-11-02,Home,Watch,3,97.49,5,Mumbai,Card,2,
ORD1187,CUST47,2024-08-21,Clothing,Dumbbells,3,329.85,10,Mumbai,Card,2,4
ORD1188,,2024-06-20,Clothing,Watch,2,126.71,0,Pune,Card,2,3
ORD1189,CUST49,2024-05-31,Beauty,Blender,4,58.73,,Mumbai,,3,3
ORD1190,CUST50,2024-11-10,Electronics,Watch,1,129.15,0,Chennai,UPI,1,3
ORD1191,CUST47,2024-06-08,Electronics,,2,363.91,,Bangalore,UPI,3,4
ORD1192,CUST25,2024-04-05,Electronics,T-shirt,,429.29,10,Hyderabad,Cash,1,4
ORD1193,CUST45,2024-08-20,Electronics,,3,416.81,10,Delhi,Cash,5,2
ORD1194,CUST5,2024-06-28,Beauty,Watch,2,,,Chennai,UPI,2,2
ORD1195,CUST9,2024-04-22,Sports,,1,337.36,0,Hyderabad,NetBanking,3,1
ORD1196,,2024-11-13,Home,Headphones,3,110.44,0,,Card,,4
ORD1197,CUST44,2024-02-21,Electronics,Blender,2,153.64,0,,Card,4,4
ORD1198,,2024-09-24,Home,Speaker,3,449.2,0,,Card,3,3
ORD1199,CUST5,2024-10-21,Home,T-shirt,1,16.37,15,Chennai,Card,2,1
